,tau_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW,pop_weighted,negishi
46,1.42,-0.011042730297022,-0.0159809200711849,-0.0177344383521456,-0.0153748799276613,-0.0155344835410752,-0.0158109885413858,-0.0150879836694931,0.4880891136987312,-0.0161913862134484,-0.0159068926151132,-0.0164578114007452,-0.0151215168138369,-0.0055761547040897
47,1.44,-0.0107935525923675,-0.0156971665844702,-0.0173730249127967,-0.0151245309459811,-0.0152843320614307,-0.0155487295021557,-0.0148215882373915,0.4835208260504702,-0.0159300752144865,-0.0156433046947277,-0.0161822598340803,-0.0148618139578858,-0.005405572794279
48,1.46,-0.010557160237105,-0.0154270719813372,-0.0170299715930699,-0.0148857956675768,-0.0150459374799474,-0.0152990766611487,-0.0145696772635168,0.4790283152019711,-0.0156808021182806,-0.0153923604924494,-0.0159197087837242,-0.0146146908641647,-0.0052458752861796
49,1.48,-0.0103335864955828,-0.015169979768112,-0.0167042776820326,-0.0146581703987664,-0.0148187738242477,-0.0150614440328515,-0.0143304395422361,0.4746129718389179,-0.0154430397493685,-0.0151534726459464,-0.0156695636624974,-0.0143795658642107,-0.0050965612738589
50,1.5,-0.0101222410909614,-0.0149253551308426,-0.01639509367159,-0.0144412560490158,-0.0146024243739616,-0.0148353573132285,-0.0141033108149598,0.4702757222420332,-0.015216375266928,-0.0149261696279347,-0.0154313463164555,-0.0141559677737329,-0.0049571423639153
51,1.52,-0.009922544190349,-0.0146926636397661,-0.0161015956282437,-0.014234643101552,-0.0143964637308114,-0.0146203365519098,-0.0138877324259995,0.4660171071023784,-0.0150003849319099,-0.0147099725418157,-0.0152045710832778,-0.0139434192190955,-0.0048271336007053
52,1.54,-0.0097339289095825,-0.0144713751735958,-0.0158229870545736,-0.0140379164307352,-0.0142004624588964,-0.0144159009919331,-0.0136831547592081,0.4618373343702246,-0.0147946392144631,-0.0145044003176457,-0.0149887500145216,-0.0137414415253404,-0.0047060567866649
53,1.56,-0.0095558433536623,-0.0142609671209121,-0.0155585001780712,-0.0138506594213302,-0.0140139909579028,-0.0142215729664409,-0.0134890400919044,0.4577363257339496,-0.0145987070261694,-0.0143089739961926,-0.0147833971264967,-0.013549558699565,-0.0045934431625001
54,1.58,-0.009387752086216,-0.0140609270005167,-0.0153073968080629,-0.0136724572826747,-0.0138366226434315,-0.014036881077331,-0.0133048646869438,0.4537137574388053,-0.0144121591844581,-0.0141232201825387,-0.0145880318982347,-0.0133673006902869,-0.0044888355042913
55,1.6,-0.0092291372813211,-0.0138707544988855,-0.0150689687424546,-0.0135028998224486,-0.01366793660221,-0.0138613627498075,-0.0131301205164437,0.449769096125577,-0.014234571257024,-0.0139466738252556,-0.0144021820059251,-0.0131942059625008,-0.0043917897584876
56,1.62,-0.0090794994747335,-0.0136899630811165,-0.0148425378931854,-0.0133415836850755,-0.0135075196979579,-0.0136945662491423,-0.0129643163750198,0.445901630263648,-0.0140655258770299,-0.0137788804320638,-0.0142253855833136,-0.0130298235962732,-0.0043018762778002
57,1.64,-0.0089383581253526,-0.013518081276035,-0.0146274561605873,-0.0131881141923272,-0.0133549683562543,-0.0135360523257359,-0.0128069788787525,0.4421104976023637,-0.01390461465175,-0.0136193978163006,-0.0140571929704062,-0.0128737149291936,-0.004218680767229
58,1.66,-0.0088052518939027,-0.013354653564806,-0.0144231051297251,-0.0130421067656257,-0.0132098899130224,-0.0133853953902414,-0.0126576529576802,0.4383947092800785,-0.0137514396027677,-0.0134677974032758,-0.0138971680502102,-0.0127254547913357,-0.0041418049087197
59,1.68,-0.0086731667710255,-0.0132013199884092,-0.0142301535913148,-0.0129044043658154,-0.0130731308255839,-0.0132434113810669,-0.0125171064372517,0.4347469849491418,-0.0136069922003387,-0.0133249285897978,-0.0137461684741062,-0.0125858601499,-0.0040710852204743
60,1.7,-0.0085551688053694,-0.0130533503763689,-0.0140454222850481,-0.0127721227296168,-0.0129417786289982,-0.013107161365216,-0.0123824130414686,0.4311729529944244,-0.0134680345961171,-0.0131877760643115,-0.0136011326503546,-0.0124519993308507,-0.004005807176653
61,1.72,-0.0084439234537924,-0.0129125771036917,-0.0138697440340917,-0.012646224410186,-0.0128168007202644,-0.0129775858868839,-0.0122544840991719,0.4276709247935406,-0.0133356975104522,-0.0130573147409534,-0.0134630511024392,-0.0123248048667021,-0.0039457509105904
