,tau_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW,pop_weighted,negishi
23,0.96,-0.02463845856510351,-0.028091011279066117,-0.030286334279331757,0.11278656964932418,-0.024900221108880682,-0.025864040230488525,-0.027312926383007866,-0.035963785162653555,-0.02768016658365426,-0.02598660753171717,-0.02671321480501417,-0.010214141046501242,0.0037184059589654103
24,0.98,-0.0235570716451142,-0.026886474468925108,-0.028872834627908968,0.11111966507467431,-0.02389038591605355,-0.024787560444912343,-0.02606586664817159,-0.03437171504714304,-0.02658246973587162,-0.02492013410086755,-0.025629663089353286,-0.009487811829077692,0.004293934210043508
25,1.0,-0.02253283998940605,-0.025742242098106192,-0.027541942822346187,0.10945300360896619,-0.022926572791335403,-0.02376205721616135,-0.024884268382239887,-0.03286158723503354,-0.025531173521202186,-0.023898748391287722,-0.024591950998263164,-0.008798604682318054,0.0048191195676012336
26,1.02,-0.021574922417138216,-0.024656427575481,-0.026285099269382817,0.10779285541800136,-0.022009561123009048,-0.022785578174611836,-0.02376557312195433,-0.03142844288446226,-0.02452361347531687,-0.022924122173055877,-0.02359916259994558,-0.008145056456416867,0.005296299659507652
27,1.04,-0.020663156715015465,-0.023632353869406528,-0.02511235800951147,0.1061444216527768,-0.021142660504969935,-0.021863740344153056,-0.022715313630274004,-0.030078576015940665,-0.02356864483799867,-0.022000631448304275,-0.022658859980915175,-0.007533850582879747,0.00572749508394696
28,1.06,-0.019805510219343115,-0.022667489656338694,-0.024012826714287696,0.10451565813494294,-0.020323244332801752,-0.020992549379010718,-0.021729476563880502,-0.028805738679752543,-0.022662305730249136,-0.02112622269629189,-0.021767799108157154,-0.006961215834957473,0.006115459328263792
29,1.08,-0.019000225197747602,-0.02175771717428682,-0.022984180216725606,0.10291259263531569,-0.01954979312714775,-0.020170572290261698,-0.020804050772508808,-0.027608968141666187,-0.021804972855559625,-0.020300366495797216,-0.020925738340814525,-0.006426467489543502,0.006463367975807871
30,1.1,-0.018244076623831984,-0.020902453808890352,-0.022021512250699277,0.10133616020615942,-0.018821123144667364,-0.019397375202246287,-0.019938563129201947,-0.026483048050695002,-0.020994392407884213,-0.01952222758197523,-0.020132621813337637,-0.005928286835820855,0.00677371151084378
31,1.12,-0.017535076110649635,-0.0200987741371238,-0.02112211539539391,0.09979115305132485,-0.018135974116803035,-0.018670657788003704,-0.019129482688557607,-0.025426388320748523,-0.0202303457130125,-0.018789796718749162,-0.01938523504092262,-0.005465402960958285,0.007050098540612595
32,1.1400000000000001,-0.016870979521970596,-0.01934439696877875,-0.020281151787739104,0.09827869620177485,-0.017491431911210067,-0.017987146029682904,-0.018373341536419226,-0.024433934958993535,-0.01951037212641385,-0.018101802154781032,-0.018682454485586007,-0.005036343710354282,0.007294273717651493
33,1.1600000000000001,-0.01680954769437428,-0.018480484836032228,-0.019338424032053082,0.09827692188229256,-0.01671966980764282,-0.017185107470615725,-0.01750331844061172,-0.024003999195326243,-0.018675034378920926,-0.017292364412707685,-0.017851830563512167,-0.004327791315347727,0.007829516601414321
34,1.1800000000000002,-0.01619602995262074,-0.01781040709819396,-0.018598954629256002,0.09677316804981839,-0.0161459699407305,-0.016577444490038517,-0.0168386503338267,-0.023079234864703604,-0.018030528542277737,-0.016679444793268654,-0.017225749662794717,-0.003962195297117075,0.008014420530573718
35,1.2000000000000002,-0.0156210836593366,-0.01718194197928235,-0.01790721537597375,0.09530925831514174,-0.015607076975672998,-0.016007787529933547,-0.016218314271109785,-0.02221323280116301,-0.017424624584251487,-0.016105089952246326,-0.01663865619480557,-0.0036246791368812945,0.008173996570898661
36,1.22,-0.015083560369196987,-0.01659278260280181,-0.017261650554654732,0.09388146988489365,-0.01510168249848806,-0.015474442394045261,-0.015640060013946324,-0.021401753177864365,-0.01685533318609215,-0.015567280786374718,-0.016087849446240882,-0.0033139100503736052,0.008311023742930662
37,1.24,-0.01458051920628531,-0.016040602853211523,-0.016658106462608045,0.09249473317383712,-0.014627325233981268,-0.014974397816562497,-0.015099896762688577,-0.020639830360900748,-0.016320340506548743,-0.015062839378181182,-0.015570908384335223,-0.0030274552971434566,0.008427651567512675
38,1.26,-0.014109366084378962,-0.0155223735567031,-0.01609391417750587,0.09114540958268236,-0.014182507755243675,-0.014505150897938867,-0.01459622268773131,-0.01992575483118247,-0.01581679704374978,-0.014590141933558174,-0.015086456803869124,-0.002764125223510118,0.008525530884006632
39,1.28,-0.01366800373319072,-0.015036587567537925,-0.015565515771975034,0.08983181376936128,-0.013764389485630121,-0.014065245244660934,-0.014125145376387907,-0.019255397105617012,-0.015343961587371481,-0.014146710274405363,-0.01463163135745057,-0.0025216376669013802,0.008606492979632544
40,1.3,-0.013254412902335913,-0.01458032509849184,-0.015071294448305158,0.08855572160116575,-0.01337190728469141,-0.013652205429833158,-0.01368516945264754,-0.01862516958143279,-0.01489900936226205,-0.013731155568423303,-0.01420417988657683,-0.0022988436848754407,0.008672393634972107
41,1.32,-0.012866779817845238,-0.014151783347919873,-0.014607848666367128,0.08731607301511828,-0.013002888498818739,-0.013264896943768171,-0.013273537231823618,-0.01803298208400803,-0.014480150340820072,-0.013340264412832351,-0.013802459435105597,-0.002093633851046545,0.008724569090844538
42,1.3399999999999999,-0.012502902064161948,-0.013748602887165753,-0.014173767399335976,0.08611219394750891,-0.012656148356701999,-0.012900937317797645,-0.012888105376401117,-0.017475605681204397,-0.0140856646330577,-0.012974166479378985,-0.013424754726231997,-0.0019053646069239149,0.008764401445515073
43,1.3599999999999999,-0.012161209458174956,-0.013370220492763598,-0.013766387611647833,0.08494328685791971,-0.012329727494336714,-0.012558980882942621,-0.012526901024526662,-0.016951059862857963,-0.013714011489140723,-0.012629816979509906,-0.013069422241009125,-0.0017321216687870584,0.008793463884805083
44,1.38,-0.011840059911641403,-0.01301300420585095,-0.013383387223715333,0.08380606779849221,-0.012022106940340524,-0.012236629833275715,-0.012188781614847401,-0.01645661282445268,-0.013363459587408517,-0.012305663084070176,-0.012734721281189586,-0.0015726615503888926,0.008812428043453852
45,1.4,-0.01153795855055324,-0.012677352062904618,-0.013023564001852644,0.0827030176427707,-0.01173254838496218,-0.01193346089018093,-0.011870501384288587,-0.01598976534091948,-0.013032846998569351,-0.012000401738168555,-0.012419434256207501,-0.001426277734195042,0.008822555678500224
46,1.42,-0.011253682981853903,-0.012360729201854206,-0.012684862209542217,0.08163037707627677,-0.011459206981788076,-0.011648155220307006,-0.01157181392246272,-0.01554979927157202,-0.012720486065277673,-0.011713042850942277,-0.012121965472090261,-0.0012914976142435496,0.008824998540514946
47,1.44,-0.010985875471280859,-0.012062056132920353,-0.012365791001206782,0.08058981445317412,-0.011201351508666855,-0.011378296270912393,-0.011291045425067453,-0.01513364483194967,-0.012425287990577594,-0.01144212583184616,-0.011840864137312503,-0.0011675766928795923,0.008820374617643864
48,1.46,-0.010733223752156946,-0.011779972767321078,-0.012065176462073418,0.07957739101451143,-0.010957431275132084,-0.011123875719592894,-0.011026595534847744,-0.014740642280118085,-0.012146129473178445,-0.011186397492477424,-0.01157541230701007,-0.0010535905495488284,0.008809589569124678
49,1.48,-0.01049465517591573,-0.01151332401604693,-0.011781154864824625,0.07859506964653327,-0.010727259031820058,-0.010883763571118706,-0.010777289956398876,-0.014368109314091836,-0.011882104988630236,-0.01094444255919011,-0.011324493136363089,-0.0009489989059496955,0.008793158147662296
50,1.5,-0.010269368940633485,-0.011260980999860693,-0.011513199845003862,0.07763891235992766,-0.010509048585676794,-0.0106564528070938,-0.010541972509613435,-0.01401525604633918,-0.011631634644996587,-0.01071631959041855,-0.01108673426609986,-0.0008523911196115867,0.00877168608533777
51,1.52,-0.010056279630602466,-0.011022511384165117,-0.01125972075588755,0.07671069881868788,-0.01030233213479041,-0.010441194404393209,-0.01032009452949394,-0.013680908970095326,-0.011394960325488685,-0.010499856983324162,-0.01086161464602903,-0.0007637211429276896,0.008746153763568151
