,tau_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW,pop_weighted,negishi
31,1.12,-0.0002123086033609,-0.0002334050925966,-0.0002265886222198,-0.0002055276121777,-0.0002007079081835,-0.0002075259801033,-0.0002075507830821,-0.0002486982555395,-0.0002201238602446,-0.0002073363096644,0.0401197226420878,-0.0002048216472833,9.759490412530044e-06,8.158924284721114e-05
32,1.14,-0.0002065469615619,-0.0002280104025128,-0.0002208624668318,-0.0002008956630879,-0.0001957713153471,-0.0002023723661153,-0.0002026700601,-0.0002423143103877,-0.0002144790608395,-0.0002021942629156,0.0396038009219,-0.0002000617684801,1.2281524879300811e-05,8.242738091503204e-05
33,1.16,-0.0002004726189945,-0.0002218038187429,-0.0002157323051013,-0.0001960986991891,-0.0001919510615012,-0.0001981112318235,-0.0001969911813864,-0.0002366006049742,-0.0002089527631816,-0.0001975592725948,0.0390965392488697,-0.0001956229110086,1.409803749850582e-05,8.346331111409599e-05
34,1.1800000000000002,-0.0001956834145615,-0.0002168257350669,-0.0002098180844618,-0.0001915166237429,-0.0001868455902726,-0.0001935852248881,-0.0001921984711664,-0.0002311537183233,-0.0002046952818113,-0.0001927876449747,0.0385996193143087,-0.0001910607345839,1.5713153585773274e-05,8.467658911787853e-05
35,1.2000000000000002,-0.0001912763945812,-0.000211474907624,-0.0002046232431757,-0.0001874940982045,-0.0001827857115953,-0.0001891632697262,-0.00018705234024,-0.000225230976892,-0.0001996761251176,-0.0001877883804425,0.0381119931950247,-0.0001863636617483,1.795984871241786e-05,8.52618174508466e-05
36,1.22,-0.0001866154791582,-0.0002062522790096,-0.0001993044371599,-0.0001831963268661,-0.0001785528742786,-0.0001853075311843,-0.0001823589576275,-0.0002200687316363,-0.0001952623065116,-0.0001834006128497,0.0376351257894901,-0.0001822961920344,1.9483555940391433e-05,8.664400921897565e-05
37,1.24,-0.0001816161603885,-0.0002017632078917,-0.0001943534898906,-0.000179019958303,-0.0001741715139296,-0.0001808966985713,-0.0001780252314632,-0.0002144925843451,-0.0001903668917378,-0.0001788704277679,0.0371682542004297,-0.0001780953195492,2.1378536448466636e-05,8.70170059514157e-05
38,1.26,-0.0001771833106326,-0.0001968478800189,-0.0001899318550087,-0.0001751941139201,-0.0001704811224103,-0.0001769983409925,-0.0001732123508911,-0.0002096821384584,-0.0001863191443984,-0.0001746565848711,0.0367112409718362,-0.0001738223843466,2.3132826135555634e-05,8.781760551514402e-05
39,1.28,-0.0001731063630742,-0.000192236029679,-0.0001851465310947,-0.0001713508331417,-0.0001666818023863,-0.0001730626211278,-0.0001692375093444,-0.0002046781453299,-0.0001822720044621,-0.0001708134827406,0.0362651206094417,-0.0001702351616513,2.45145139735955e-05,8.884270664818804e-05
40,1.3,-0.0001687811414805,-0.0001880532195717,-0.000180704391146,-0.0001673300607827,-0.0001630676548035,-0.0001689071975343,-0.0001651150127801,-0.0002000809551252,-0.0001777855419612,-0.0001667626060611,0.0358286089397391,-0.0001664161922126,2.637314520113797e-05,8.905523637638653e-05
