,tau_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ZAF,ROW,pop_weighted,negishi
39,1.28,-0.0625985717257141,0.082480287413041,-0.0723555032474247,-0.0701421824008913,-0.0716730236250049,-0.0718343013522844,-0.0717024662323133,-0.0780212252732013,-0.073842279459021,-0.0723260806453593,-0.0721732879060994,-0.074237160459062,-0.0698097492019214,-0.0394400969329469
40,1.3,-0.0619695936572576,0.0809589972571716,-0.0717736481115076,-0.0696749174668351,-0.0711816907030078,-0.0713278571392116,-0.0711211714203644,-0.0772801547526827,-0.073351741743413,-0.0717965658139104,-0.0716786024365165,-0.0736746627168247,-0.0693196526587499,-0.0393013470029771
41,1.32,-0.0613669134015691,0.0794757864462746,-0.0712151102460958,-0.0692241233224028,-0.0707065614071543,-0.0708382525688225,-0.070563037052871,-0.0765677356414884,-0.0728756349573238,-0.0712875473941555,-0.0712012029472243,-0.0731319083625478,-0.0688462047607264,-0.0391719424251437
42,1.34,-0.0607894934220328,0.0780322674345732,-0.070679141338625,-0.0687900117639866,-0.0702485987897477,-0.0703675648949777,-0.07002907308957,-0.0758836375421847,-0.0724135670382034,-0.0707969537265174,-0.0707398288920044,-0.0726098825039567,-0.0683906934667818,-0.0390514169117681
43,1.36,-0.0602359126723158,0.0766259157916226,-0.0701652199628622,-0.0683721642777821,-0.0698066562509617,-0.0699131921231155,-0.0695166220151892,-0.0752259953546931,-0.0719662197829298,-0.0703255832468888,-0.0702940070994719,-0.0721062095752636,-0.067951904380318,-0.0389400425339108
44,1.38,-0.0597056134239699,0.0752585500296953,-0.0696728464929803,-0.0679697368985283,-0.0693806066385162,-0.0694759127958224,-0.0690258060464751,-0.0745933884555406,-0.0715327456302761,-0.0698723853912767,-0.0698640836873046,-0.0716209533541691,-0.0675296858037972,-0.03883636828237
45,1.4,-0.0591970764466896,0.0739230433148481,-0.0691998286962806,-0.0675822593742792,-0.0689698856362217,-0.0690551122973994,-0.0685552972005243,-0.0739863693836068,-0.0711133664487723,-0.069436605621915,-0.0694493736446914,-0.0711537714578715,-0.0671234284382288,-0.0387409935259732
46,1.42,-0.0587105569129472,0.0726222826896901,-0.0687462782858069,-0.0672096652434169,-0.0685731265441575,-0.0686496126684501,-0.0681018651913704,-0.0734018830859567,-0.0707068056482821,-0.0690173708989372,-0.0690484634207983,-0.0707041153936578,-0.0667315791568219,-0.0386532067262731
47,1.44,-0.0582430389020836,0.0713560864974925,-0.0683112198872177,-0.0668510793397592,-0.068191303158265,-0.0682598557698306,-0.0676693874318657,-0.0728409946318249,-0.0703139789738642,-0.0686146901280297,-0.068662111530287,-0.0702709754300792,-0.06635541005874,-0.0385727367451004
48,1.46,-0.0577938649766109,0.0701185188674227,-0.0678932421077491,-0.0665055515639596,-0.067823164962901,-0.067884538934214,-0.0672544284363426,-0.0723008585380633,-0.0699341672934894,-0.0682268725682262,-0.0682895746797431,-0.0698542617177616,-0.0659933292778609,-0.0384987631297608
49,1.48,-0.0573633155491764,0.0689106114158097,-0.0674921631176785,-0.0661730941411992,-0.0674677320032507,-0.0675230851467344,-0.0668557073969753,-0.0717814688885535,-0.0695669336608702,-0.0678546323485901,-0.0679288815452563,-0.0694531588164171,-0.0656447954522248,-0.0384318080031215
50,1.5,-0.0569494960886873,0.0677312680848476,-0.0671070614690365,-0.0658528637440012,-0.0671256078078394,-0.067174667489192,-0.0664733154514573,-0.071280939368121,-0.0692117574945127,-0.0674954306117786,-0.0675812980890628,-0.0690657553436895,-0.0653093726852769,-0.0383701008082374
51,1.52,-0.0565516564255013,0.0665805207752791,-0.0667369103575661,-0.065544287239868,-0.0667953571054872,-0.0668392884151319,-0.0661054841003785,-0.0707997683978887,-0.0688678544871276,-0.0671502848171961,-0.0672453626527272,-0.0686929476342677,-0.0649862349035569,-0.0383145927194443
52,1.54,-0.056169557940973,0.0654585065197703,-0.0663813012138476,-0.0652471281258034,-0.0664764423016,-0.0665162539634287,-0.0657529292181882,-0.0703365271830935,-0.0685351440625932,-0.0668179256196029,-0.0669209543031637,-0.0683335016709183,-0.0646755256758558,-0.038264540976776
53,1.56,-0.0558020131877747,0.0643640332191647,-0.06603880563312,-0.0649603952135524,-0.066168124917042,-0.0662042469978043,-0.0654126174768338,-0.0698892044869316,-0.0682130775358314,-0.0664971195110613,-0.0666069230427076,-0.067987043093837,-0.0643757651021491,-0.0382194093042413
54,1.58,-0.055448164864675,0.06329063041673,-0.0657091854648389,-0.0646838362280131,-0.0658707123280757,-0.0659039610441409,-0.0650851658034618,-0.0694584447505327,-0.0679014682502128,-0.0661880843953437,-0.066303620846673,-0.0676522499639917,-0.0640865867390299,-0.0381788400073095
55,1.6,-0.0551076420707648,0.0622416685291712,-0.0653921908552025,-0.0644171070297181,-0.0655832364963513,-0.0656137859667736,-0.0647700100402867,-0.069042815379155,-0.0675997582401734,-0.065889562669946,-0.0660098280506721,-0.0673293267127262,-0.0638079495663708,-0.038142519701647
56,1.62,-0.0607328089789708,0.0639535795841178,-0.0631843965791189,-0.0622927102100272,-0.0634371786642222,-0.0634711608102357,-0.0626046753040415,-0.066642689654196,-0.0652970824663429,-0.0637087953837022,-0.063880084370191,-0.0651072799235598,-0.0616849084976011,-0.0373655390196074
57,1.64,-0.0611625656248719,0.0632459834229168,-0.0626910634392016,-0.0618471841255645,-0.0629734165766269,-0.0630058281376978,-0.0621189067143062,-0.0660462268235504,-0.064804704407773,-0.0632325905312176,-0.0634128964048884,-0.0646073000296788,-0.0612325325718126,-0.0372786342092295
58,1.66,-0.0609032424392842,0.0622330052454802,-0.0624361699773029,-0.0616340971156272,-0.0627429394730671,-0.0627737900529873,-0.0618665650689598,-0.0657024803532384,-0.0645617516126334,-0.0629939241516315,-0.0631759899167079,-0.0643461492379355,-0.0610115695001311,-0.037286505167718
59,1.68,-0.0606531874898323,0.0612437361755084,-0.0621910892148828,-0.0614285961098002,-0.0625202644220283,-0.0625495770621984,-0.0616240657176595,-0.0653715151846626,-0.0643267525034309,-0.0627635284708945,-0.062946569624902,-0.0640947485685053,-0.0607986880659204,-0.0372971816379792
60,1.7,-0.0604126592919004,0.0602742162613874,-0.0619552810808753,-0.0612305006380358,-0.0623050173307371,-0.0623331823499151,-0.0613898178111579,-0.0650512115421849,-0.0640994891191375,-0.0625414543029616,-0.0627251086908023,-0.0638516023574724,-0.0605936432454736,-0.0373105158069276
61,1.72,-0.0601811290702679,0.0593271817777698,-0.0617277598002236,-0.0610390964565134,-0.0620969327302187,-0.0621242079603959,-0.0611646615620627,-0.0647424871813195,-0.0638787369352324,-0.0623266639678933,-0.0625102352124137,-0.0636170760958586,-0.0603957584289064,-0.0373260745820775
62,1.74,-0.0599577774168238,0.0583981498847597,-0.0615081403287027,-0.0608537588680782,-0.0618952119412121,-0.061922111408631,-0.0609465318553813,-0.0644444533406069,-0.0636650230800009,-0.0621190386249582,-0.0623013299246601,-0.0633902310759157,-0.0602044945091859,-0.0373431096843352
63,1.76,-0.0597432983509302,0.0574925521280863,-0.0612967197267011,-0.0606752288188973,-0.0617009992327248,-0.0617269898565688,-0.0607369518983146,-0.0641564031017969,-0.0634583211333301,-0.0619189276817813,-0.0620999609620041,-0.0631711766569419,-0.060020053843079,-0.0373628620955591
64,1.78,-0.0595357181824257,0.0566001872959557,-0.0610924345931301,-0.0605025012051977,-0.0615121589445853,-0.0615382914443086,-0.0605342815626587,-0.0638783691115531,-0.063257326621573,-0.06172486559854,-0.0619046567886899,-0.0629589949658462,-0.0598415365272714,-0.0373837049889413
65,1.8,-0.0593355748818073,0.0557320042408579,-0.0608952340815447,-0.0603351073834711,-0.0613294860264506,-0.0613557787698016,-0.0603383791228464,-0.0636089236856564,-0.0630621794859226,-0.0615370480080473,-0.0617145292147137,-0.0627533525787231,-0.0596691898015318,-0.0374063722073594
66,1.82,-0.0591445640191551,0.0548803386853031,-0.0607039786983509,-0.0601724054129676,-0.0611513863976083,-0.0611782650686226,-0.060148104908857,-0.0633465157958007,-0.0628723327990701,-0.0613549252490547,-0.0615297658908986,-0.0625538805732417,-0.0595015175015988,-0.0374300911725281
67,1.84,-0.058958174879277,0.054043058817527,-0.0605196291571867,-0.0600156812828671,-0.0609795086274033,-0.0610065727667723,-0.059964763713475,-0.0630944991460921,-0.0626883477731248,-0.0611791067015937,-0.0613508879917723,-0.0623609270162333,-0.0593400586434377,-0.0374554026672274
68,1.86,-0.058777863970518,0.053228448567278,-0.0603412030854926,-0.0598637689030361,-0.0608131348359578,-0.0608404811267396,-0.059787363466925,-0.0628508316678431,-0.0625095501441014,-0.0610082022974817,-0.061177327686343,-0.0621740249981735,-0.0591838055494564,-0.0374815505893907
69,1.88,-0.0586034943559658,0.0524274186597071,-0.060168546589531,-0.0597160408144263,-0.0606513160944224,-0.0606793055115319,-0.0596153762585877,-0.0626149144190093,-0.0623358054646779,-0.0608427825326241,-0.0610081738442318,-0.0619928436942322,-0.0590321933337262,-0.0375088973271856
70,1.9,-0.0584347227514359,0.0516424971077386,-0.0600014545777371,-0.0595730591712338,-0.0604941293977878,-0.0605228593447024,-0.0594489767550654,-0.0623860824613318,-0.0621668336510299,-0.0606820182043467,-0.060844095528821,-0.0618167367279808,-0.058885079199614,-0.0375369987173811
71,1.92,-0.0582714367142704,0.0508735232738194,-0.0598390373761124,-0.0594343363214753,-0.0603416369670558,-0.0603708349887201,-0.05928747711708,-0.0621646630207324,-0.0620025143493739,-0.0605259025668723,-0.0606842438151627,-0.0616458700612826,-0.0587424996588648,-0.0375658178084533
72,1.94,-0.0581133581855672,0.0501211387790717,-0.0596821590463781,-0.059299613195843,-0.0601933631197954,-0.0602232704534244,-0.0591308708233416,-0.061949696443727,-0.0618422895859316,-0.0603741468741813,-0.0605290028658386,-0.0614800121573262,-0.0586042476177955,-0.0375951794978209
73,1.96,-0.0579599532407512,0.049381988942483,-0.0595298731939031,-0.0591685517764714,-0.0600489151220787,-0.0600801829387634,-0.0589790093401004,-0.0617413334954525,-0.0616864443545598,-0.0602267774702496,-0.0603773993538665,-0.0613189023291709,-0.0584698029695114,-0.0376251878535749
74,1.98,-0.0578114694229125,0.0486588993616197,-0.0593821466312187,-0.059041214029469,-0.0599085274806687,-0.0599402975622247,-0.0588312886059952,-0.061539220785503,-0.0615344567429016,-0.060083906195874,-0.0602300706886868,-0.0611620006310519,-0.0583391823168807,-0.0376554916385981
75,2.0,-0.05766760025238941,0.04795052710218159,-0.05923855188022975,-0.058917441636821895,-0.05977184276831084,-0.05980473864568677,-0.05868788613289213,-0.06134334852569092,-0.06138679012128088,-0.059944447109401056,-0.06008652777760041,-0.061009883608630924,-0.058212489649528035,-0.037686414193991706
