origin_code,destination_code,sectors,patent flows
6.0,10.0,2.0,80.97284187623693
6.0,11.0,1.0,31.211984074825896
6.0,11.0,2.0,81.38074038052815
6.0,12.0,1.0,11.69337639965205
6.0,12.0,2.0,21.36012140180298
7.0,1.0,1.0,4323.777068556403
7.0,1.0,2.0,837.9433097851129
7.0,2.0,1.0,797.3978841563045
7.0,2.0,2.0,200.1185393318963
7.0,3.0,1.0,406.25203111501327
7.0,3.0,2.0,205.6936187432503
7.0,4.0,1.0,763.2846474026722
7.0,4.0,2.0,217.95042739789145
7.0,5.0,1.0,202.6312068074491
7.0,5.0,2.0,107.62714245215231
7.0,6.0,1.0,385.5115634979465
7.0,6.0,2.0,142.68878417854444
7.0,7.0,1.0,3205.680791850104
7.0,7.0,2.0,696.6878749402763
7.0,8.0,1.0,318.3354171050623
7.0,8.0,2.0,104.33446956439927
7.0,9.0,1.0,102.42754618601009
7.0,9.0,2.0,60.529333403433476
7.0,10.0,1.0,135.94728150222343
7.0,10.0,2.0,89.18101214570551
7.0,11.0,1.0,44.68695697700098
7.0,11.0,2.0,38.522278505976786
7.0,12.0,1.0,40.9951681887796
7.0,12.0,2.0,24.239923460310095
8.0,1.0,1.0,13276.396374520647
8.0,1.0,2.0,2196.804270467196
8.0,2.0,1.0,1853.5997173740634
8.0,2.0,2.0,380.54540460815633
8.0,3.0,1.0,3542.4868093806217
8.0,3.0,2.0,929.8433548058005
8.0,4.0,1.0,5819.9638769634885
8.0,4.0,2.0,1279.3509534286698
8.0,5.0,1.0,233.10693667765722
8.0,5.0,2.0,98.03018709422138
8.0,6.0,1.0,610.1816424374671
8.0,6.0,2.0,142.51840163256804
8.0,7.0,1.0,289.876507334461
8.0,7.0,2.0,96.33699239068046
8.0,8.0,1.0,93512.85724331006
8.0,8.0,2.0,18177.54615804653
8.0,9.0,1.0,256.68821796436123
8.0,9.0,2.0,82.04178824604729
8.0,10.0,1.0,129.22467747984908
8.0,10.0,2.0,54.65950038504992
8.0,11.0,1.0,41.065017780045785
