,nu_factor,USA,EUR,JAP,CHN,BRA,IND,CAN,KOR,RUS,MEX,ROW,pop_weighted,negishi
41,1.32,-0.0393265075777789,-0.0477119180346453,0.1311242759512811,-0.0468334532981988,-0.0474728644707038,-0.0481409297495919,-0.0474518561408493,-0.0509780869282449,-0.0486850367231404,-0.048418800046396,-0.0498114545249839,-0.0482669771505955,-0.0376548157019235
42,1.34,-0.0397433416585977,-0.0481775522617871,0.1311173466559823,-0.0473105988649986,-0.047967023908264,-0.0486344212493414,-0.0479145784944538,-0.0514241609050255,-0.0491826559532133,-0.0489099719567465,-0.0503106014020844,-0.0487581439162295,-0.0381055985934239
43,1.36,-0.0401591146499343,-0.0486414108125194,0.131102177813163,-0.0477860101012868,-0.0484581612960339,-0.0491255381979419,-0.0483758861712203,-0.0518665949275002,-0.0496783880973067,-0.0493995534027229,-0.0508075669679381,-0.0492484811351859,-0.0385548059758354
44,1.38,-0.0405737094499086,-0.0491032346315966,0.1310761701140166,-0.0482582650385655,-0.0489477187378851,-0.0496145213325555,-0.0488352233867266,-0.0523073336887953,-0.0501711843278058,-0.0498870838182964,-0.051302868240983,-0.0497354588348543,-0.0390022859784364
45,1.4,-0.0409865414518873,-0.0495633811678502,0.1310399709918133,-0.0487290713249148,-0.0494344465636809,-0.0501013185668587,-0.0492925204390797,-0.0527467119564837,-0.0506624989017593,-0.0503719794430743,-0.0517954694077975,-0.0502209160232274,-0.0394486384179129
46,1.42,-0.0413977166792769,-0.0500204072451684,0.1309966657225941,-0.0491975937436222,-0.049919035819641,-0.0505854102305241,-0.0497475735907422,-0.053184310606588,-0.0511518950302561,-0.0508548984787366,-0.0522864763957348,-0.0507047209028326,-0.0398933336408745
47,1.44,-0.0418079527734177,-0.0504758469039477,0.1309420600389252,-0.0496634525555915,-0.0504017819429698,-0.0510679024580995,-0.0502000830289092,-0.0536190571372453,-0.0516380240481385,-0.0513356624673885,-0.05277534798388,-0.0511853894755231,-0.0403363401332599
48,1.46,-0.0422162621253636,-0.0509295999855865,0.1308814256297154,-0.0501270658342755,-0.0508819342733903,-0.0515476429981788,-0.0506510113035115,-0.0540516682677746,-0.0521217959242542,-0.0518142226394988,-0.0532614822119618,-0.0516645225258888,-0.0407774379254982
49,1.48,-0.0426229659378781,-0.0513799268965396,0.1308174645120644,-0.0505881233623651,-0.0513601716925274,-0.0520251788528648,-0.0510993915056963,-0.0544826110630179,-0.0526040655853303,-0.0522903485435326,-0.053745546163827,-0.052141031840762,-0.0412168593737249
50,1.5,-0.0430280501038195,-0.0518287249321851,0.1307451487711765,-0.0510473012298993,-0.0518353829913009,-0.0525004983690013,-0.0515458021124503,-0.0549108461860144,-0.0530828499717581,-0.0527637493584374,-0.0542277527254766,-0.0526153114526431,-0.0416543266661554
