,baseline,variation,lambda,USA,EUR,JAP,CHN,BRA,IND,ROW
234,501,2.0,0.234,0.01,0.01,0.01,12.0,12.0,12.0,12.0
235,501,2.0,0.235,0.01,0.01,0.01,12.0,12.0,12.0,12.0
236,501,2.0,0.236,0.01,0.01,0.01,12.0,12.0,12.0,12.0
237,501,2.0,0.237,0.01,0.01,0.01,12.0,12.0,12.0,12.0
238,501,2.0,0.238,0.01,0.01,0.01,12.0,12.0,12.0,12.0
239,501,2.0,0.239,0.01,0.01,0.01,12.0,12.0,12.0,12.0
240,501,2.0,0.24,0.01,0.01,0.01,12.0,12.0,12.0,12.0
241,501,2.0,0.241,0.01,0.01,0.01,12.0,12.0,12.0,12.0
242,501,2.0,0.242,0.01,0.01,0.01,12.0,12.0,12.0,12.0
243,501,2.0,0.243,0.01,0.01,0.01,12.0,12.0,12.0,12.0
244,501,2.0,0.244,0.01,0.01,0.01,12.0,12.0,12.0,12.0
245,501,2.0,0.245,0.01,0.01,0.01,12.0,12.0,12.0,12.0
246,501,2.0,0.246,0.01,0.01,0.01,12.0,12.0,12.0,12.0
247,501,2.0,0.247,0.01,0.01,0.01,12.0,12.0,12.0,12.0
248,501,2.0,0.248,0.01,0.01,0.01,12.0,12.0,12.0,12.0
249,501,2.0,0.249,0.01,0.01,0.01,12.0,12.0,12.0,12.0
250,501,2.0,0.25,0.01,0.01,0.01,12.0,12.0,12.0,12.0
251,501,2.0,0.251,0.01,0.01,0.01,12.0,12.0,12.0,12.0
252,501,2.0,0.252,0.01,0.01,0.01,12.0,12.0,12.0,12.0
253,501,2.0,0.253,0.01,0.01,0.01,12.0,12.0,12.0,12.0
254,501,2.0,0.254,0.01,0.01,0.01,12.0,12.0,12.0,12.0
255,501,2.0,0.255,0.01,0.01,0.01,12.0,12.0,12.0,12.0
256,501,2.0,0.256,0.01,0.01,0.01,12.0,12.0,12.0,12.0
257,501,2.0,0.257,0.01,0.01,0.01,12.0,12.0,12.0,12.0
258,501,2.0,0.258,0.01,0.01,0.01,12.0,12.0,12.0,12.0
259,501,2.0,0.259,0.01,0.01,0.01,12.0,12.0,12.0,12.0
260,501,2.0,0.26,0.01,0.01,0.01,12.0,12.0,12.0,12.0
261,501,2.0,0.261,0.01,0.01,0.01,12.0,12.0,12.0,12.0
262,501,2.0,0.262,0.01,0.01,0.01,12.0,12.0,12.0,12.0
263,501,2.0,0.263,0.01,0.01,0.01,12.0,12.0,12.0,12.0
264,501,2.0,0.264,0.01,0.01,0.01,12.0,12.0,12.0,12.0
265,501,2.0,0.265,0.01,0.01,0.01,12.0,12.0,12.0,12.0
266,501,2.0,0.266,0.01,0.01,0.01,12.0,12.0,12.0,12.0
267,501,2.0,0.267,0.01,0.01,0.01,12.0,12.0,12.0,12.0
268,501,2.0,0.268,0.01,0.01,0.01,12.0,12.0,12.0,12.0
269,501,2.0,0.269,0.01,0.01,0.01,12.0,12.0,12.0,12.0
270,501,2.0,0.27,0.01,0.01,0.01,12.0,12.0,12.0,12.0
271,501,2.0,0.271,0.01,0.01,0.01,12.0,12.0,12.0,12.0
272,501,2.0,0.272,0.01,0.01,0.01,12.0,12.0,12.0,12.0
273,501,2.0,0.273,0.01,0.01,0.01,12.0,12.0,12.0,12.0
274,501,2.0,0.274,0.01,0.01,0.01,12.0,12.0,12.0,12.0
275,501,2.0,0.275,0.01,0.01,0.01,12.0,12.0,12.0,12.0
276,501,2.0,0.276,0.01,0.01,0.01,12.0,12.0,12.0,12.0
277,501,2.0,0.277,0.01,0.01,0.01,12.0,12.0,12.0,12.0
