,baseline,variation,aggregation_method,USA,EUR,JAP,CHN,BRA,IND,ROW,CAN,KOR,RUS,MEX,ZAF
102,1030,99.10,negishi,0.01,0.01,0.0100000207187576,12.0,11.999999608674155,11.999999985721317,12.0,0.01,0.0100003978474916,11.999999999999666,0.01,
103,1030,99.1,negishi,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
104,1030,99.1,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.0100000773239783,0.01,12.0,0.01,
105,1030,99.2,negishi,0.0100005004097056,0.01,0.01,11.999999499590295,11.999999719435808,11.999999499590295,12.0,0.01,0.0100005004097056,11.999999499590295,12.0,
106,1030,99.2,pop_weighted,0.0100001854616274,0.01,0.010000203525749,12.0,12.0,11.999999988111403,11.999999741301998,0.010000198736387,0.0100001890732021,11.999999994950718,0.0100000712448257,
107,1030,99.3,negishi,0.01,0.01,0.01,12.0,11.99999925765308,12.0,11.99999925765308,0.01,0.01,12.0,12.0,
108,1030,99.3,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
109,1030,99.4,negishi,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
110,1030,99.4,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
111,1030,99.5,negishi,0.0100001250287658,0.01,0.0100001250287658,12.0,11.999999874971234,12.0,12.0,0.01,0.01,12.0,12.0,
112,1030,99.5,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
113,1030,99.6,negishi,0.0100000343019344,0.01,0.01,11.99999999766052,12.0,11.999999992969135,11.999999995479108,0.01,0.01,11.9999999968052,12.0,
114,1030,99.6,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
115,1030,99.8,negishi,0.0100000091050521,0.01,0.01,12.0,12.0,12.0,11.999999990894947,0.01,0.01,12.0,0.01,
116,1030,99.8,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
117,1030,99.9,negishi,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
118,1030,99.9,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
119,1030,99.0,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
120,1030,99.10,negishi,0.01,0.01,0.0100000207187576,12.0,11.999999608674155,11.999999985721317,12.0,0.01,0.0100003978474916,11.999999999999666,12.0,
121,1030,99.0,negishi,0.01,0.01,0.01,12.0,12.0,11.999999031588734,11.999998520185814,0.0100014798141855,0.01,12.0,12.0,
122,1030,99.10,pop_weighted,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.01,0.01,
123,1030,99.11,negishi,0.01,0.01,0.01,11.99999993705502,11.99999993705502,11.99999993705502,11.99999993705502,0.01,0.01,11.99999993705502,11.99999993705502,
124,1030,99.11,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,0.01,0.01,
125,1030,99.12,negishi,0.01,0.01,0.0100000168150279,11.99999999998436,12.0,12.0,12.0,0.0100000168598188,0.0100000167604161,11.999999999945487,0.01,
126,1030,99.12,pop_weighted,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.01,0.01,
127,1030,99.13,negishi,0.01,0.01,0.01,12.0,12.0,11.999999990510023,12.0,0.01,0.01,12.0,12.0,
128,1030,99.13,pop_weighted,0.01,0.01,0.01,11.99999985042184,11.999999850542013,11.999999999945883,11.999999849897058,0.01,0.01,0.01,0.01,
129,1030,99.6,negishi,0.0100000003305573,0.01,0.0100001594648621,12.0,11.99999981037496,11.99999980711232,12.0,0.0100000087642982,0.0100001252326827,12.0,0.01,
130,1030,99.6,pop_weighted,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.01,0.01,
131,1030,99.7,negishi,0.0100004429398983,0.01,0.0100004439581126,12.0,12.0,12.0,12.0,0.0100004423359173,0.0100004437928346,12.0,12.0,
132,1030,99.7,pop_weighted,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,0.01,
133,1030,99.14,negishi,0.01,0.01,0.01,11.999999944794164,11.999999421672417,12.0,11.99999942057344,0.01,0.01,11.99999995916816,11.999999441841355,
134,1030,99.14,pop_weighted,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.01,0.01,
135,1030,99.15,negishi,0.01,0.0100003498414988,0.01,11.999999988851815,12.0,12.0,11.999999986858242,0.0100003364500296,0.0100003728306531,11.999999975024355,12.0,
136,1030,99.15,pop_weighted,0.010000044613293,0.0100001103660312,0.01,0.01,12.0,12.0,12.0,0.0100000427632993,0.01,0.01,0.0100001103660312,
137,1030,20.0,negishi,0.0100000592607301,0.01,0.0100001116065613,12.0,12.0,12.0,12.0,0.0100000779321929,0.01,12.0,12.0,
138,1030,20.0,pop_weighted,0.01,0.01,0.01,0.01,12.0,11.999999999735222,11.999999999613156,0.01,0.01,0.01,0.01,
139,1030,20.1,negishi,0.01,0.01,0.01,12.0,11.999999977605116,11.999999976379865,11.999999976404194,0.01,0.01,11.999999996471958,11.9999999988511,
140,1030,20.1,pop_weighted,0.01,0.0100002195199588,0.01,0.01,11.99999999155189,11.999999999626285,11.999999998930234,0.01,0.01,0.01,0.01,
141,1030,20.2,negishi,0.01,0.0100000002789101,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
142,1030,20.2,pop_weighted,0.0100000107592068,0.010000000000002,0.01,0.01,12.0,12.0,12.0,0.01,0.0100000000000013,0.01,0.01,
143,1030,20.3,negishi,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
144,1030,20.3,pop_weighted,0.0100000171948288,0.0100000239786899,0.01,0.01,12.0,11.999999986753368,12.0,0.01,0.0100000170984323,0.01,0.01,
145,1030,20.4,negishi,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
146,1030,20.4,pop_weighted,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.01,0.01,
147,1030,20.5,negishi,0.01,0.01,0.01,11.999999755747073,11.999999755755123,11.999999755745712,11.999999755804456,0.01,0.0100002440470704,11.999999999960206,11.999999999902746,
148,1030,20.5,pop_weighted,0.01,0.01,0.01,0.01,12.0,12.0,11.999999934379792,0.01,0.01,0.01,0.01,
149,1030,20.6,negishi,0.0100000519273732,0.01,0.0100000510205656,12.0,11.99999994527258,11.99999994896305,11.999999946986849,0.01,0.01,11.999999944909336,12.0,
150,1030,20.6,pop_weighted,0.0100002535874073,0.0100001584756556,0.01,0.01,11.999999746412591,12.0,12.0,0.0100002535874073,0.01,0.01,0.0100002535874073,
151,1030,20.7,negishi,0.01,0.01,0.01,11.999999842223966,11.999999999993602,11.999999999994122,11.99999984222749,0.0100001577653266,0.01,12.0,11.999999842227174,
152,1030,20.7,pop_weighted,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.01,0.01,
153,1030,20.8,negishi,0.01,0.01,0.01,12.0,12.0,12.0,12.0,0.0100002949425814,0.01,12.0,12.0,
154,1030,20.8,pop_weighted,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.01,0.01,
155,1030,20.9,negishi,0.0100002781226711,0.01,0.01,11.9999999991193,11.999999851674124,11.999999999999975,11.999999822976523,0.0100000094300565,0.01,11.999999931050649,11.999999998733404,
156,1030,20.9,pop_weighted,0.01,0.01,0.01,0.01,11.99999998511309,11.999999984919835,11.999999985096764,0.01,0.01,0.01,0.01,
157,1030,20.10,negishi,0.0100002665284256,0.01,0.01,12.0,12.0,12.0,12.0,0.0100002631701354,0.0100002705888303,12.0,12.0,
158,1030,20.10,pop_weighted,0.01,0.01,0.01,0.01,11.999999827970743,12.0,11.999999999999966,0.01,0.01,0.01,0.01,
159,1030,20.11,negishi,0.0100000169584087,0.0100005701408039,0.01,11.999999995565908,12.0,11.999999970960827,11.99999941184042,0.01,0.01,11.999999959161336,11.999999412351132,
160,1030,20.11,pop_weighted,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.01,0.01,
161,1030,20.12,negishi,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
162,1030,20.12,pop_weighted,0.010000006715297,0.01,0.01,0.010000006626154,11.999999999955037,11.99999999337929,11.999999993268965,0.01,0.01,0.01,0.01,
163,1030,20.13,negishi,0.0100003413791879,0.010000436818605,0.01,0.01,12.0,12.0,12.0,0.0100003864513841,0.0100005395976278,12.0,12.0,
164,1030,20.13,pop_weighted,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.0100000247961649,0.01,0.01,0.01,
165,1030,20.14,negishi,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
166,1030,20.14,pop_weighted,0.01,0.01,0.0100000563703878,0.01,12.0,12.0,11.999999988800862,0.01,0.01,0.01,0.01,
167,1030,20.15,negishi,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
168,1030,20.15,pop_weighted,0.01,0.0100000005382585,0.0100000007206758,0.01,11.999999999999996,11.99999999999998,11.99999999927936,0.01,0.0100000007206564,0.01,0.01,
169,1030,20.16,negishi,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
170,1030,20.16,pop_weighted,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.01,0.01,
171,1030,20.17,negishi,0.01,0.0100002225177559,0.0100002225177559,0.01,12.0,12.0,12.0,0.0100001189187644,0.01,12.0,12.0,
172,1030,20.17,pop_weighted,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.01,0.01,
173,1030,20.18,negishi,0.0100000003891471,0.0100007746983216,0.0100008042165408,0.01,11.999999949199076,11.9999999993222,11.999999890492337,0.0100007496114173,0.0100009348130917,11.999999999666196,11.99999999999958,
174,1030,20.18,pop_weighted,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,0.01,0.01,
175,1030,20.19,negishi,0.01,0.01,0.01,0.01,12.0,12.0,12.0,0.01,0.01,12.0,12.0,
176,1030,20.19,pop_weighted,0.010000022072582,0.01,0.010000021831158,0.01,12.0,11.999999976873871,11.9999999782,0.0100000005251978,0.0100000232023896,0.01,0.01,
177,1030,20.20,negishi,0.01,0.01,0.01,0.01,11.999999999999927,11.999999879494425,11.999999999999972,0.01,0.01,11.999999879494446,11.99999987949444,
178,1030,20.20,pop_weighted,0.01,0.01,0.01,0.01,11.99999935835799,12.0,12.0,0.01,0.01,0.01,0.01,
179,1030,20.21,negishi,0.0100000259632858,0.01,0.01,0.01,12.0,12.0,12.0,0.0100000259621175,0.0100000259650428,12.0,11.999999999998524,
