,baseline,variation,aggregation_method,USA,EUR,JAP,CHN,BRA,IND,ROW,Equal,Negishi,CAN,KOR,RUS,AUS,MEX,ZAF
1562,1020,99.11,pop_weighted,0.9716717219174296,0.9676386388052248,0.9742218070344568,1.108954695835685,1.099397504076963,1.0975116182105389,1.1012602731382612,1.0955977831253412,1.038974944801757,1.006654321577776,1.007973368297168,1.0997229949242466,,1.0293862004143148,
1563,1020,99.11,negishi,0.9707298576809142,0.9670232579122312,0.9734942355820488,1.1084220371695528,1.098892739321122,1.0969864394444118,1.1006763827766888,1.095543575770245,1.039650934786554,1.0058977340311095,1.0070596872902249,1.099138821152304,,1.0931271383712529,
1564,1020,20.0,pop_weighted,0.9858059021641408,0.9795879440344109,0.9868923778504636,1.1314221192319802,1.1217157306174077,1.119922424376257,1.1241856646278434,1.1168546881604546,1.0539558543680525,1.0197003541756997,1.0208773294378028,1.1223941689915653,,0.9417725861515324,
1565,1020,20.1,pop_weighted,0.985669424521292,0.979413454291596,0.9867567388048476,1.1320400751890365,1.1217256780406348,1.1198614429494331,1.1240974206482903,1.116852012363463,1.0539944938241497,1.0196822926962616,1.020802285578968,1.122307715509926,,0.9418030175970282,
1566,1020,20.2,pop_weighted,0.9855073614019688,0.979209280246606,0.9865958761801356,1.132691315172876,1.1217225987378945,1.1197803761089349,1.123986739768384,1.1168337369684898,1.0540225063880078,1.0196506123486808,1.0207097855397729,1.1222279398837849,,0.9418248160908465,
1567,1020,20.3,pop_weighted,0.9853164123662506,0.97897206822487,0.986406510857106,1.1333687045354244,1.1217026386338895,1.1196752941847754,1.1238497373690473,1.1167952797566154,1.0540349812351597,1.0196020911074837,1.0205972081258678,1.1221185428532796,,0.9418348815050376,
1568,1020,20.4,pop_weighted,0.985092822385866,0.9786979669803936,0.9861849129789112,1.1340634311556723,1.1216612770301138,1.1195416666102609,1.123681907502381,1.116731598629923,1.054027097564625,1.0195329232436607,1.0204613626678125,1.121974127696146,,0.9418295491495436,
1569,1020,20.5,pop_weighted,0.9848361170292462,0.9783872609041864,0.9859320566354266,1.134728491444177,1.1215976728322865,1.1193789304925343,1.1234830131015234,1.1166372785092424,1.0539907243848414,1.0194436528636124,1.0203060375553887,1.1218193114926185,,0.9418086092834262,
1570,1020,20.6,pop_weighted,0.9845318955766372,0.9780228441448932,0.9856291087552074,1.135463069481964,1.1214941687653694,1.1191689124754547,1.123233921197869,1.116506495994895,1.0539299560710913,1.0193157262539627,1.0201057722788565,1.121602887155507,,0.9417563559235658,
1571,1020,20.7,pop_weighted,0.98418728335499,0.9776147328795044,0.9852876628207756,1.136145414200362,1.1213583996714755,1.1189201158182684,1.122944114193155,1.1163334092543324,1.0538285393539633,1.0191595023922535,1.0198797160153834,1.1213052873684586,,0.941680512500185,
