,baseline,variation,aggregation_method,USA,EUR,JAP,CHN,BRA,IND,ROW
96,312,6.1,negishi,0.01,0.01,0.01,24.62326793894793,10.665079170833918,15.212826614215118,11.936368159202775
97,312,6.2,pop_weighted,0.01,0.01,0.01,33.85465274420314,16.330051784975247,33.52198244104441,39.42239303656987
98,312,6.2,negishi,0.01,17.457211424257842,0.01,5.237674057083575,6.168498496532803,5.259039833700688,29.21076454875528
99,312,6.3,pop_weighted,0.01,0.01,0.01,44.23590131212709,23.37223904892928,41.62906554621928,54.8009023038592
100,312,6.3,negishi,0.1247624403151145,1.4538277845141216,0.01,1.9504618164220944,1.252647585370552,1.5035440256061594,2.339609651489979
101,312,7.1,pop_weighted,0.01,0.01,0.01,35.560865300821675,9.79474836575266,36.18024369715857,28.02886034325764
102,312,7.1,negishi,0.01,0.01,0.01,17.15293496157169,7.968304181588085,10.938878050114909,10.381433519988208
103,312,7.2,pop_weighted,0.01,0.01,0.01,5.970629148036196,3.0129953904730087,5.486502156429925,7.810914424138673
104,312,7.2,negishi,0.01,5.211192825798836,0.01,6.309422689731397,3.8924090880335016,4.6766607256478,5.174988570586198
105,312,7.3,pop_weighted,0.01,0.01,0.01,62.91651344748425,24.95920603705696,100.0,63.71765019560314
106,312,7.3,negishi,66.8707855441509,66.81517734846756,0.01,72.46659694869803,70.15269960861217,70.79873222982145,73.9278327597686
107,312,8.1,pop_weighted,0.01,0.01,0.01,58.703098730093714,12.605916803055758,65.85079990147177,34.63466692747389
108,312,8.1,negishi,0.01,0.01,0.01,46.64623500655379,19.66687832715991,28.27952495136028,18.35118202523685
109,312,8.2,pop_weighted,0.01,0.01,0.01,14.88132992070186,6.721917120095902,14.833941998417004,15.90413773910744
110,312,8.2,negishi,0.01,2.044889017632371,0.01,4.195693767912575,2.638745849650023,3.192021551710736,4.4681185839402495
111,312,8.3,pop_weighted,0.01,0.01,0.01,8.905497740229642,4.39280309074612,8.74183032160228,10.359272430126891
112,312,8.3,negishi,0.0847714955030324,2.0122166219601048,0.01,2.8490149138864096,1.84415179512898,2.2121021737984186,3.433553203547877
113,312,9.1,pop_weighted,0.01,0.01,0.01,95.4198665050076,23.909710973782914,100.0,59.15085117709929
114,312,9.1,negishi,0.01,100.0,0.01,100.0,54.18401817998552,77.73176720318769,58.51494974632501
115,312,9.2,pop_weighted,0.01,0.01,0.01,23.979112616984544,8.037191465070118,29.86400292982769,17.32724640355113
116,312,9.2,negishi,0.0951736994978094,13.675885133732551,11.28226854225759,28.32059782679889,20.129455220914124,23.84966830080916,33.960560276884145
117,312,9.3,pop_weighted,7.108226246401583,7.220199448785602,8.708944884233427,18.061661058107727,12.573949980075405,20.624854621923525,24.241042055985435
118,312,9.3,negishi,100.0,66.44921952843022,100.0,100.0,54.808020214882674,13.544841713091111,100.0
119,312,10.1,pop_weighted,0.01,0.01,0.01,90.44465761266702,21.83385109679051,91.03248010567911,47.48144584345029
120,312,10.1,negishi,0.01,0.01,0.01,100.0,45.10485941828372,62.86379964318997,42.27568690323714
121,312,10.2,pop_weighted,0.01,0.01,0.01,50.29659936344731,12.606350617569678,57.34361209919867,22.80054312345791
122,312,10.2,negishi,47.85382101983738,58.66654720102221,0.01,82.49270000448246,59.73681364687592,69.33665124855224,100.0
123,312,10.3,pop_weighted,0.01,0.01,0.01,77.32669295472661,23.294110943758312,84.40835408892458,42.24863497755464
124,312,10.3,negishi,62.59675584033715,63.96927642581935,71.91359228198864,100.0,21.1947321814804,93.5010059633305,99.64277623895414
125,312,baseline,pop_weighted,0.01,0.01,0.01,27.562425998440897,14.49830439120773,28.48345516429143,35.62924907599174
126,312,baseline,negishi,0.01,6.068291285520468,0.01,10.953293465815008,7.344302356942856,8.671211079386833,14.8521406372591
127,312,1.0,pop_weighted,0.01,0.01,0.01,27.562425998440897,14.49830439120773,28.48345516429143,35.62924907599174
128,312,1.0,negishi,0.01,6.068291285520468,0.01,10.953293465815008,7.344302356942856,8.671211079386833,14.8521406372591
129,312,2.0,pop_weighted,0.01,0.01,0.01,16.284054911996286,6.285066589758497,16.665214755755287,14.876723597142526
130,312,2.0,negishi,0.01,0.01,0.01,21.18743941939797,10.286507776211549,13.50429590761086,14.278043967705855
131,312,3.0,pop_weighted,0.01,0.01,0.01,13.77409023085056,6.86180431322185,13.866511023718678,16.895415939356823
132,312,3.0,negishi,0.01,0.1881270332004466,0.01,14.094022965975578,9.250788644074198,11.027911071635549,17.057740841151386
133,312,4.0,pop_weighted,0.01,0.01,0.01,13.198067211257175,4.732363738948818,13.5229022774395,11.004177252085398
134,312,4.0,negishi,0.01,0.01,0.01,66.60474117126745,39.71099624776469,49.26291469989452,56.709855250105576
