origin_code,destination_code,sectors,patent flows
9.0,1.0,2,21.684386496379258
9.0,2.0,1,41.64108982906675
9.0,2.0,2,15.17994861336028
9.0,3.0,1,33.22273867315749
9.0,3.0,2,8.752910628807605
9.0,4.0,1,25.481810424069423
9.0,4.0,2,23.94119152524831
9.0,5.0,1,11.0191427021837
9.0,5.0,2,2.499762466721467
9.0,6.0,1,1.6698038640186967
9.0,6.0,2,1.1350229985206524
9.0,7.0,1,38.91777123307913
9.0,7.0,2,16.60616866717654
9.0,8.0,1,4.4275676142148
9.0,8.0,2,0.7422597319283362
9.0,9.0,1,1.7081669340090904
9.0,9.0,2,0.3275473517051955
9.0,10.0,1,0.0299678409475279
9.0,10.0,2,0.0057464447667578
9.0,11.0,1,0.2247233725360015
9.0,11.0,2,1.0636224921256523
9.0,12.0,1,2.2791130166754043
9.0,12.0,2,0.7527403434710016
10.0,1.0,1,30.05023232143791
10.0,1.0,2,10.361077863672438
10.0,2.0,1,4.12821710963122
10.0,2.0,2,3.5467873623996393
10.0,3.0,1,4.081855597696304
10.0,3.0,2,2.952047998707292
10.0,4.0,1,3.205619640198126
10.0,4.0,2,2.737374865296379
10.0,5.0,1,8.652644480011544
10.0,5.0,2,4.0903500254829614
10.0,6.0,1,0.33704810110679756
10.0,6.0,2,0.22391727140107223
10.0,7.0,1,6.672705816347427
10.0,7.0,2,6.817608036466425
10.0,8.0,1,2.853849151426006
10.0,8.0,2,3.113387778310924
10.0,9.0,1,0.0301438428571428
10.0,9.0,2,0.8984275857142854
10.0,10.0,1,102.89321763605082
10.0,10.0,2,54.124614531781745
10.0,11.0,1,1.1022552260668654
10.0,11.0,2,1.9316483703367304
10.0,12.0,1,0.2811160435583447
10.0,12.0,2,0.3586478854283436
11.0,1.0,1,104.51604196910759
11.0,1.0,2,31.18352332195101
11.0,2.0,1,37.22233040410799
11.0,2.0,2,10.548670524239006
11.0,3.0,1,28.459882488279547
11.0,3.0,2,7.959886631489572
11.0,4.0,1,1.8681768492759177
11.0,4.0,2,0.4500049689059004
11.0,5.0,1,13.968948692672974
11.0,5.0,2,1.9563759826517024
11.0,6.0,1,13.743016672382234
11.0,6.0,2,2.5249791303459905
11.0,7.0,1,46.2448972099083
11.0,7.0,2,15.115348100337028
11.0,8.0,1,14.200216420461528
11.0,8.0,2,2.3775613573162486
11.0,9.0,1,0.002199283266296149
11.0,9.0,2,0.002077038580599338
11.0,10.0,1,2.563402753762965
11.0,10.0,2,0.4365972462370353
11.0,11.0,1,1789.9638776834138
11.0,11.0,2,684.6139000944265
11.0,12.0,1,5.193239519075074
11.0,12.0,2,1.4574892705716076
12.0,1.0,1,1962.0729242776533
12.0,1.0,2,406.21809954736443
12.0,2.0,1,458.52278556956594
12.0,2.0,2,146.1462596606585
12.0,3.0,1,370.3091020711332
12.0,3.0,2,150.9081652153574
12.0,4.0,1,83.78106562930229
